6044789;0;32;0;
6045405;1;96;4;
6046026;0;32;-1;
6046641;0;32;0;
6047263;1;96;4;
6047885;0;32;-1;
6048500;0;32;0;
6049122;1;96;4;
6049737;1;96;3;
6050360;1;96;3;
6050982;1;96;3;
6051597;1;96;3;
6052219;1;96;3;
6052842;1;96;3;
6053457;1;96;3;
6054079;1;96;3;
6054695;1;96;3;
6055317;1;96;3;
6055938;1;96;3;
6056554;1;96;3;
6057176;1;96;3;
6057797;1;96;3;
6058413;1;96;3;
6059035;1;96;3;
6059650;1;96;3;
6060273;1;96;3;
6060894;1;96;3;
6061510;1;96;3;
6062131;1;96;3;
6062747;1;96;3;
6063369;1;96;3;
6063990;1;96;3;
6064606;1;96;3;
6065228;1;96;3;
6065850;1;96;3;
6066465;1;96;3;
6067086;1;96;3;
6067702;1;96;3;
6068324;1;96;3;
6068946;1;96;3;
6069561;1;96;3;
6070183;1;96;3;
6070805;1;96;3;
6071420;1;96;3;
6072042;-6;98;-25;
6072657;1;96;10;
6073279;1;96;3;
6073901;1;96;3;
6074517;1;96;3;
6075138;1;96;3;
6075753;1;96;3;
6076375;1;96;3;
6076997;1;96;3;
6077612;1;96;3;
6078234;1;96;3;
6078857;1;96;3;
6079472;1;96;3;
6080094;1;96;3;
6080709;1;96;3;
6081331;1;96;3;
6081953;1;96;3;
6082569;1;96;3;
6083191;1;96;3;
6083812;1;96;3;
6084428;1;96;3;
6085050;1;96;3;
6085665;1;96;3;
6086287;1;96;3;
6086909;1;96;3;
6087524;1;96;3;
6088146;1;96;3;
6088761;1;96;3;
6089383;1;96;3;
6090004;1;96;3;
6090620;1;96;3;
6091242;1;96;3;
6091863;1;96;3;
6092479;1;96;3;
6093101;1;96;3;
6093716;1;96;3;
6094338;1;96;3;
6094960;1;96;3;
6095577;1;96;3;
6096199;1;96;3;
6096821;1;96;3;
6097436;1;96;3;
6098058;1;96;3;
6098673;1;96;3;
6099295;1;96;3;
6099917;1;96;3;
6100533;1;96;3;
6101154;1;96;3;
6101777;1;96;3;
6102393;1;96;3;
6103015;1;96;3;
6103630;1;96;3;
6104252;1;96;3;
6104874;1;96;3;
6105489;0;32;-1;
6106111;0;32;0;
6106726;0;32;0;
6107348;0;32;0;
6107970;0;32;0;
6108585;0;32;0;
6109207;0;32;0;
6109829;0;32;0;
6110445;0;32;0;
6111066;0;32;0;
6111681;0;32;0;
6112303;0;32;0;
6112925;0;32;0;
6113540;0;32;0;
6114162;0;32;0;
6114784;0;32;0;
6115399;0;32;0;
6116021;0;32;0;
6116637;0;32;0;
6117259;0;32;0;
6117882;0;32;0;
6118498;0;32;0;
6119120;0;32;0;
6119735;0;32;0;
6120357;0;32;0;
6120979;0;32;0;
6121594;0;32;0;
6122216;0;32;0;
6122839;0;32;0;
6123454;0;32;0;
6124076;0;32;0;
6124691;-8;33;-32;
6125313;0;32;8;
6125935;0;32;0;
6126550;0;32;0;
6127172;0;32;0;
6127794;0;32;0;
6128409;0;32;0;
6129031;0;32;0;
6129646;0;32;0;
6130268;0;32;0;
6130890;0;32;0;
6131506;0;32;0;
6132127;0;32;0;
6132742;0;32;0;
6133364;0;32;0;
6133986;0;32;0;
6134602;0;32;0;
6135223;0;32;0;
6135845;0;32;0;
6136461;0;32;0;
6137083;0;32;0;
6137698;0;32;0;
6138320;0;32;0;
6138942;-6;34;-24;
6139559;0;32;6;
6140180;0;32;0;
6140803;0;32;0;
6141418;0;32;0;
6142039;0;32;0;
6142654;-1;48;-4;
6143277;-1;48;-3;
6143899;-1;48;-3;
6144513;-1;48;-3;
6145135;-1;48;-3;
6145750;-1;48;-3;
6146373;-1;48;-3;
6146995;-1;48;-3;
6147610;-1;48;-3;
6148232;-1;48;-3;
6148854;-1;48;-3;
6149469;-1;48;-3;
6150091;-1;48;-3;
6150706;-1;48;-3;
6151327;-1;48;-3;
6151949;-1;48;-3;
6152565;-1;48;-3;
6153187;-1;48;-3;
6153809;-1;48;-3;
6154425;-1;48;-3;
6155047;-1;48;-3;
6155662;-1;48;-3;
6156284;-1;48;-3;
6156906;-1;48;-3;
6157521;-1;48;-3;
6158143;-1;48;-3;
6158758;-1;48;-3;
6159380;-1;48;-3;
6160002;-1;48;-3;
6160618;-1;48;-3;
6161240;-1;48;-3;
6161862;-1;48;-3;
6162477;-1;48;-3;
6163099;-1;48;-3;
6163714;-1;48;-3;
6164336;-1;48;-3;
6164958;-1;48;-3;
6165573;-1;48;-3;
6166195;-1;48;-3;
